Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,o-Phos 1,  0.543,mg P/L,0.149809,Mon Jan 20 18:29:22 2025,1,1
C C B ,,o-Phos 1,  0.020,mg P/L,0.002097,Mon Jan 20 18:30:43 2025,1,1
GWU2,,o-Phos 1,  2.763,mg P/L,0.152541,Mon Jan 20 20:19:38 2025,1,5.00
OJO3,,o-Phos 1,  2.698,mg P/L,0.148867,Mon Jan 20 20:21:00 2025,1,5.00
WTB1,,o-Phos 1,  0.670,mg P/L,0.185638,Mon Jan 20 18:34:37 2025,1,1
WTU1,,o-Phos 1,  1.445,mg P/L,0.078106,Mon Jan 20 20:22:22 2025,1,5.00
ATU1,,o-Phos 1,  3.895,mg P/L,0.106459,Mon Jan 20 20:23:44 2025,1,10.00
WTU3,,o-Phos 1,  0.593,mg P/L,0.164046,Mon Jan 20 18:38:32 2025,1,1
OJU1,,o-Phos 1,  9.365,mg P/L,0.260938,Mon Jan 20 20:25:05 2025,1,10.00
ACU2,,o-Phos 1,  0.239,mg P/L,0.063981,Mon Jan 20 18:41:09 2025,1,1
OJU2,,o-Phos 1,  1.234,mg P/L,0.066164,Mon Jan 20 20:26:26 2025,1,5.00
GWB2,,o-Phos 1,  9.158,mg P/L,0.255091,Mon Jan 20 20:27:48 2025,1,10.00
C C V,,o-Phos 1,  0.555,mg P/L,0.153075,Mon Jan 20 20:29:09 2025,1,1
C C B ,,o-Phos 1,  0.019,mg P/L,0.001768,Mon Jan 20 21:04:31 2025,1,1
OJB1,,o-Phos 1, 26.850,mg P/L,0.072299,Mon Jan 20 21:05:24 2025,1,100.00
BLANK2ND ROUND,,o-Phos 1,  0.019,mg P/L,0.001933,Mon Jan 20 18:49:01 2025,1,1
BDU2,,o-Phos 1,  1.134,mg P/L,0.060523,Mon Jan 20 20:31:52 2025,1,5.00
WTU2,,o-Phos 1,  1.203,mg P/L,0.064402,Mon Jan 20 20:33:12 2025,1,5.00
GWU1,,o-Phos 1,  5.713,mg P/L,0.157801,Mon Jan 20 20:34:33 2025,1,10.00
ATU2,,o-Phos 1,  4.025,mg P/L,0.110135,Mon Jan 20 20:35:30 2025,1,10.00
GWU2,,o-Phos 1,  3.007,mg P/L,0.166315,Mon Jan 20 20:36:31 2025,1,5.00
WTB3,,o-Phos 1,  0.510,mg P/L,0.140578,Mon Jan 20 18:56:46 2025,1,1
GWU3,,o-Phos 1,  0.977,mg P/L,0.051664,Mon Jan 20 20:37:25 2025,1,5.00
ACB3,,o-Phos 1, 14.189,mg P/L,0.076615,Mon Jan 20 21:06:17 2025,1,50.00
C C V,,o-Phos 1,  0.521,mg P/L,0.143660,Mon Jan 20 20:39:11 2025,1,1
C C B ,,o-Phos 1,  0.019,mg P/L,0.001940,Mon Jan 20 19:01:59 2025,1,1
GWB3,,o-Phos 1,  6.968,mg P/L,0.193241,Mon Jan 20 20:40:04 2025,1,10.00
BDU3,,o-Phos 1,  0.637,mg P/L,0.176262,Mon Jan 20 19:04:35 2025,1,1
WTB2,,o-Phos 1,  0.923,mg P/L,0.257137,Mon Jan 20 19:05:52 2025,1,1
GWB1,,o-Phos 1,  6.706,mg P/L,0.185859,Mon Jan 20 20:40:58 2025,1,10.00
ATB3,,o-Phos 1, 51.002,mg P/L,0.140506,Mon Jan 20 21:07:10 2025,1,100.00
BLANK1ST ROUND,,o-Phos 1,  0.019,mg P/L,0.001872,Mon Jan 20 19:09:44 2025,1,1
GWU2,,o-Phos 1,  2.632,mg P/L,0.145126,Mon Jan 20 20:42:44 2025,1,5.00
S10T1L16,,o-Phos 1,  0.265,mg P/L,0.071392,Mon Jan 20 19:12:18 2025,1,1
S12T1L47,,o-Phos 1,  0.080,mg P/L,0.019011,Mon Jan 20 19:13:35 2025,1,1
S10T2L33,,o-Phos 1,  0.057,mg P/L,0.012520,Mon Jan 20 19:14:52 2025,1,1
C C V,,o-Phos 1,  0.476,mg P/L,0.130838,Mon Jan 20 20:43:37 2025,1,1
